ticker,FUT_NOTICE_FIRST,FUT_CONTRACT_EXP_MONTH_YEAR_RT,LAST_TRADEABLE_DT,FUT_ROLL_DT,code,rolldays,myRollDT
A5G07 Index,28/02/2007,Feb-07,28/02/2007,28/02/2007,A5,5,23/02/2007
A5G08 Index,29/02/2008,Feb-08,29/02/2008,29/02/2008,A5,5,22/02/2008
A5G09 Index,27/02/2009,Feb-09,27/02/2009,27/02/2009,A5,5,20/02/2009
A5G10 Index,26/02/2010,Feb-10,26/02/2010,26/02/2010,A5,5,19/02/2010
A5G11 Index,28/02/2011,Feb-11,28/02/2011,28/02/2011,A5,5,23/02/2011
A5G12 Index,29/02/2012,Feb-12,29/02/2012,29/02/2012,A5,5,24/02/2012
A5G13 Index,28/02/2013,Feb-13,28/02/2013,28/02/2013,A5,5,22/02/2013
A5G14 Index,28/02/2014,Feb-14,28/02/2014,28/02/2014,A5,5,21/02/2014
A5G15 Index,27/02/2015,Feb-15,27/02/2015,27/02/2015,A5,5,20/02/2015
A5G16 Index,29/02/2016,Feb-16,29/02/2016,29/02/2016,A5,5,24/02/2016
A5G17 Index,28/02/2017,Feb-17,28/02/2017,28/02/2017,A5,5,23/02/2017
A5G18 Index,28/02/2018,Feb-18,28/02/2018,28/02/2018,A5,5,23/02/2018
A5G19 Index,28/02/2019,Feb-19,28/02/2019,28/02/2019,A5,5,22/02/2019
A5J07 Index,30/04/2007,Apr-07,30/04/2007,30/04/2007,A5,5,25/04/2007
A5J08 Index,30/04/2008,Apr-08,30/04/2008,30/04/2008,A5,5,25/04/2008
A5J09 Index,30/04/2009,Apr-09,30/04/2009,30/04/2009,A5,5,24/04/2009
A5J10 Index,30/04/2010,Apr-10,30/04/2010,30/04/2010,A5,5,23/04/2010
A5J11 Index,29/04/2011,Apr-11,29/04/2011,29/04/2011,A5,5,22/04/2011
A5J12 Index,30/04/2012,Apr-12,30/04/2012,30/04/2012,A5,5,25/04/2012
A5J13 Index,30/04/2013,Apr-13,30/04/2013,30/04/2013,A5,5,25/04/2013
A5J14 Index,30/04/2014,Apr-14,30/04/2014,30/04/2014,A5,5,25/04/2014
A5J15 Index,30/04/2015,Apr-15,30/04/2015,30/04/2015,A5,5,24/04/2015
A5J16 Index,29/04/2016,Apr-16,29/04/2016,29/04/2016,A5,5,22/04/2016
A5J17 Index,28/04/2017,Apr-17,28/04/2017,28/04/2017,A5,5,21/04/2017
A5J18 Index,30/04/2018,Apr-18,30/04/2018,30/04/2018,A5,5,25/04/2018
A5J19 Index,30/04/2019,Apr-19,30/04/2019,30/04/2019,A5,5,25/04/2019
A5M07 Index,29/06/2007,Jun-07,29/06/2007,29/06/2007,A5,5,22/06/2007
A5M08 Index,30/06/2008,Jun-08,30/06/2008,30/06/2008,A5,5,25/06/2008
A5M09 Index,30/06/2009,Jun-09,30/06/2009,30/06/2009,A5,5,25/06/2009
A5M10 Index,30/06/2010,Jun-10,30/06/2010,30/06/2010,A5,5,25/06/2010
A5M11 Index,30/06/2011,Jun-11,30/06/2011,30/06/2011,A5,5,24/06/2011
A5M12 Index,29/06/2012,Jun-12,29/06/2012,29/06/2012,A5,5,22/06/2012
A5M13 Index,28/06/2013,Jun-13,28/06/2013,28/06/2013,A5,5,21/06/2013
A5M14 Index,30/06/2014,Jun-14,30/06/2014,30/06/2014,A5,5,25/06/2014
A5M15 Index,30/06/2015,Jun-15,30/06/2015,30/06/2015,A5,5,25/06/2015
A5M16 Index,30/06/2016,Jun-16,30/06/2016,30/06/2016,A5,5,24/06/2016
A5M17 Index,30/06/2017,Jun-17,30/06/2017,30/06/2017,A5,5,23/06/2017
A5M18 Index,29/06/2018,Jun-18,29/06/2018,29/06/2018,A5,5,22/06/2018
A5M19 Index,28/06/2019,Jun-19,28/06/2019,28/06/2019,A5,5,21/06/2019
A5Q07 Index,31/08/2007,Aug-07,31/08/2007,31/08/2007,A5,5,24/08/2007
A5Q08 Index,29/08/2008,Aug-08,29/08/2008,29/08/2008,A5,5,22/08/2008
A5Q09 Index,31/08/2009,Aug-09,31/08/2009,31/08/2009,A5,5,26/08/2009
A5Q10 Index,31/08/2010,Aug-10,31/08/2010,31/08/2010,A5,5,26/08/2010
A5Q11 Index,26/08/2011,Aug-11,26/08/2011,26/08/2011,A5,5,19/08/2011
A5Q12 Index,31/08/2012,Aug-12,31/08/2012,31/08/2012,A5,5,24/08/2012
A5Q13 Index,29/08/2013,Aug-13,29/08/2013,29/08/2013,A5,5,23/08/2013
A5Q14 Index,29/08/2014,Aug-14,29/08/2014,29/08/2014,A5,5,22/08/2014
A5Q15 Index,31/08/2015,Aug-15,31/08/2015,31/08/2015,A5,5,26/08/2015
A5Q16 Index,31/08/2016,Aug-16,31/08/2016,31/08/2016,A5,5,26/08/2016
A5Q17 Index,29/08/2017,Aug-17,29/08/2017,29/08/2017,A5,5,24/08/2017
A5Q18 Index,31/08/2018,Aug-18,31/08/2018,31/08/2018,A5,5,24/08/2018
A5Q19 Index,29/08/2019,Aug-19,29/08/2019,29/08/2019,A5,5,23/08/2019
A5V07 Index,31/10/2007,Oct-07,31/10/2007,31/10/2007,A5,5,26/10/2007
A5V08 Index,31/10/2008,Oct-08,31/10/2008,31/10/2008,A5,5,24/10/2008
A5V09 Index,30/10/2009,Oct-09,30/10/2009,30/10/2009,A5,5,23/10/2009
A5V10 Index,27/10/2010,Oct-10,27/10/2010,27/10/2010,A5,5,22/10/2010
A5V11 Index,31/10/2011,Oct-11,31/10/2011,31/10/2011,A5,5,26/10/2011
A5V12 Index,31/10/2012,Oct-12,31/10/2012,31/10/2012,A5,5,26/10/2012
A5V13 Index,31/10/2013,Oct-13,31/10/2013,31/10/2013,A5,5,25/10/2013
A5V14 Index,31/10/2014,Oct-14,31/10/2014,31/10/2014,A5,5,24/10/2014
A5V15 Index,30/10/2015,Oct-15,30/10/2015,30/10/2015,A5,5,23/10/2015
A5V16 Index,31/10/2016,Oct-16,31/10/2016,31/10/2016,A5,5,26/10/2016
A5V17 Index,31/10/2017,Oct-17,31/10/2017,31/10/2017,A5,5,26/10/2017
